nohup: ignoring input
设备: cuda:0
可用显存: 31.4GB
加载 tokenizer...
加载模型（先 CPU 后 GPU）...
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights: 100%|██████████| 399/399 [00:00<00:00, 5959.13it/s]
  模型加载后显存: 0.0GB（应为 0，模型在 CPU）
trainable params: 7,667,712 || all params: 8,198,403,072 || trainable%: 0.0935
  移到 GPU 后显存: 15.3GB / 31.4GB
加载数据...
  数据加载完成: 25704 条

训练配置:
  模型: /root/autodl-tmp/model_cache/Qwen/Qwen3-8B
  总数据: 25704 条
  batch: 1, grad_accum: 8, 等效 batch: 8
  max_length: 2048
  seed: 42
  max_updates: 未设置
  max_samples: 未设置
  总更新步数: 9639

Epoch 1/3
  update 10 | loss 0.9722 | lr 6.92e-06
  update 20 | loss 0.9668 | lr 1.38e-05
  update 30 | loss 0.9621 | lr 2.08e-05
  update 40 | loss 0.9292 | lr 2.77e-05
  update 50 | loss 0.8719 | lr 3.46e-05
  update 60 | loss 0.8070 | lr 4.15e-05
  update 70 | loss 0.8051 | lr 4.84e-05
  update 80 | loss 0.7835 | lr 5.54e-05
  update 90 | loss 0.7551 | lr 6.23e-05
  update 100 | loss 0.7504 | lr 6.92e-05
  update 110 | loss 0.7815 | lr 7.61e-05
  update 120 | loss 0.7417 | lr 8.30e-05
  update 130 | loss 0.7571 | lr 9.00e-05
  update 140 | loss 0.7515 | lr 9.69e-05
  update 150 | loss 0.7190 | lr 1.04e-04
  update 160 | loss 0.7335 | lr 1.11e-04
  update 170 | loss 0.7421 | lr 1.18e-04
  update 180 | loss 0.7541 | lr 1.25e-04
  update 190 | loss 0.7561 | lr 1.31e-04
  update 200 | loss 0.7117 | lr 1.38e-04
  update 210 | loss 0.7320 | lr 1.45e-04
  update 220 | loss 0.7006 | lr 1.52e-04
  update 230 | loss 0.7366 | lr 1.59e-04
  update 240 | loss 0.7157 | lr 1.66e-04
  update 250 | loss 0.7411 | lr 1.73e-04
  update 260 | loss 0.7195 | lr 1.80e-04
  update 270 | loss 0.7186 | lr 1.87e-04
  update 280 | loss 0.7492 | lr 1.94e-04
  update 290 | loss 0.7291 | lr 2.00e-04
  update 300 | loss 0.7172 | lr 2.00e-04
  update 310 | loss 0.7459 | lr 2.00e-04
  update 320 | loss 0.7282 | lr 1.99e-04
  update 330 | loss 0.6951 | lr 1.99e-04
  update 340 | loss 0.7168 | lr 1.99e-04
  update 350 | loss 0.7346 | lr 1.99e-04
  update 360 | loss 0.7159 | lr 1.98e-04
  update 370 | loss 0.7251 | lr 1.98e-04
  update 380 | loss 0.6780 | lr 1.98e-04
  update 390 | loss 0.7708 | lr 1.98e-04
  update 400 | loss 0.7367 | lr 1.98e-04
  update 410 | loss 0.7248 | lr 1.97e-04
  update 420 | loss 0.7434 | lr 1.97e-04
  update 430 | loss 0.7410 | lr 1.97e-04
  update 440 | loss 0.7180 | lr 1.97e-04
  update 450 | loss 0.6981 | lr 1.97e-04
  update 460 | loss 0.7356 | lr 1.96e-04
  update 470 | loss 0.6781 | lr 1.96e-04
  update 480 | loss 0.7333 | lr 1.96e-04
  update 490 | loss 0.7210 | lr 1.96e-04
  update 500 | loss 0.7425 | lr 1.95e-04
  checkpoint 保存: output/sft_clean_repair_v1/checkpoint_update_500
  update 510 | loss 0.7260 | lr 1.95e-04
  update 520 | loss 0.7496 | lr 1.95e-04
  update 530 | loss 0.7294 | lr 1.95e-04
  update 540 | loss 0.7323 | lr 1.95e-04
  update 550 | loss 0.7441 | lr 1.94e-04
  update 560 | loss 0.7355 | lr 1.94e-04
  update 570 | loss 0.7421 | lr 1.94e-04
  update 580 | loss 0.7415 | lr 1.94e-04
  update 590 | loss 0.7087 | lr 1.94e-04
  update 600 | loss 0.7518 | lr 1.93e-04
  update 610 | loss 0.7193 | lr 1.93e-04
  update 620 | loss 0.7444 | lr 1.93e-04
  update 630 | loss 0.7439 | lr 1.93e-04
  update 640 | loss 0.7189 | lr 1.92e-04
  update 650 | loss 0.7138 | lr 1.92e-04
  update 660 | loss 0.7159 | lr 1.92e-04
  update 670 | loss 0.7125 | lr 1.92e-04
  update 680 | loss 0.7094 | lr 1.92e-04
  update 690 | loss 0.7309 | lr 1.91e-04
  update 700 | loss 0.7297 | lr 1.91e-04
  update 710 | loss 0.7314 | lr 1.91e-04
  update 720 | loss 0.7423 | lr 1.91e-04
  update 730 | loss 0.7183 | lr 1.91e-04
  update 740 | loss 0.7125 | lr 1.90e-04
  update 750 | loss 0.6946 | lr 1.90e-04
  update 760 | loss 0.7065 | lr 1.90e-04
  update 770 | loss 0.7014 | lr 1.90e-04
  update 780 | loss 0.7220 | lr 1.89e-04
  update 790 | loss 0.7150 | lr 1.89e-04
  update 800 | loss 0.6957 | lr 1.89e-04
  update 810 | loss 0.7056 | lr 1.89e-04
  update 820 | loss 0.7165 | lr 1.89e-04
  update 830 | loss 0.7362 | lr 1.88e-04
  update 840 | loss 0.7206 | lr 1.88e-04
  update 850 | loss 0.7093 | lr 1.88e-04
  update 860 | loss 0.7453 | lr 1.88e-04
  update 870 | loss 0.7340 | lr 1.88e-04
  update 880 | loss 0.7277 | lr 1.87e-04
  update 890 | loss 0.7111 | lr 1.87e-04
  update 900 | loss 0.7247 | lr 1.87e-04
  update 910 | loss 0.7236 | lr 1.87e-04
  update 920 | loss 0.7126 | lr 1.87e-04
  update 930 | loss 0.7339 | lr 1.86e-04
  update 940 | loss 0.7198 | lr 1.86e-04
  update 950 | loss 0.7260 | lr 1.86e-04
  update 960 | loss 0.7170 | lr 1.86e-04
  update 970 | loss 0.7034 | lr 1.85e-04
  update 980 | loss 0.7235 | lr 1.85e-04
  update 990 | loss 0.7156 | lr 1.85e-04
  update 1000 | loss 0.7093 | lr 1.85e-04
  checkpoint 保存: output/sft_clean_repair_v1/checkpoint_update_1000
  update 1010 | loss 0.6947 | lr 1.85e-04
  update 1020 | loss 0.7438 | lr 1.84e-04
  update 1030 | loss 0.7268 | lr 1.84e-04
  update 1040 | loss 0.7157 | lr 1.84e-04
  update 1050 | loss 0.7071 | lr 1.84e-04
  update 1060 | loss 0.7205 | lr 1.84e-04
  update 1070 | loss 0.7266 | lr 1.83e-04
  update 1080 | loss 0.7076 | lr 1.83e-04
  update 1090 | loss 0.7449 | lr 1.83e-04
  update 1100 | loss 0.7303 | lr 1.83e-04
  update 1110 | loss 0.7313 | lr 1.82e-04
  update 1120 | loss 0.7259 | lr 1.82e-04
  update 1130 | loss 0.6889 | lr 1.82e-04
  update 1140 | loss 0.7211 | lr 1.82e-04
  update 1150 | loss 0.7203 | lr 1.82e-04
  update 1160 | loss 0.7093 | lr 1.81e-04
  update 1170 | loss 0.7429 | lr 1.81e-04
  update 1180 | loss 0.7076 | lr 1.81e-04
  update 1190 | loss 0.7356 | lr 1.81e-04
  update 1200 | loss 0.7175 | lr 1.81e-04
  update 1210 | loss 0.7304 | lr 1.80e-04
  update 1220 | loss 0.7282 | lr 1.80e-04
  update 1230 | loss 0.7044 | lr 1.80e-04
  update 1240 | loss 0.7255 | lr 1.80e-04
  update 1250 | loss 0.6933 | lr 1.79e-04
  update 1260 | loss 0.7072 | lr 1.79e-04
  update 1270 | loss 0.7128 | lr 1.79e-04
  update 1280 | loss 0.7005 | lr 1.79e-04
  update 1290 | loss 0.6852 | lr 1.79e-04
  update 1300 | loss 0.7217 | lr 1.78e-04
  update 1310 | loss 0.7255 | lr 1.78e-04
  update 1320 | loss 0.7256 | lr 1.78e-04
  update 1330 | loss 0.7162 | lr 1.78e-04
  update 1340 | loss 0.7208 | lr 1.78e-04
  update 1350 | loss 0.7253 | lr 1.77e-04
  update 1360 | loss 0.7458 | lr 1.77e-04
  update 1370 | loss 0.7216 | lr 1.77e-04
  update 1380 | loss 0.7040 | lr 1.77e-04
  update 1390 | loss 0.7109 | lr 1.76e-04
  update 1400 | loss 0.7205 | lr 1.76e-04
  update 1410 | loss 0.6836 | lr 1.76e-04
  update 1420 | loss 0.7210 | lr 1.76e-04
  update 1430 | loss 0.7226 | lr 1.76e-04
  update 1440 | loss 0.7040 | lr 1.75e-04
  update 1450 | loss 0.7290 | lr 1.75e-04
  update 1460 | loss 0.7141 | lr 1.75e-04
  update 1470 | loss 0.7218 | lr 1.75e-04
  update 1480 | loss 0.7187 | lr 1.75e-04
  update 1490 | loss 0.7126 | lr 1.74e-04
  update 1500 | loss 0.7214 | lr 1.74e-04
  checkpoint 保存: output/sft_clean_repair_v1/checkpoint_update_1500
  update 1510 | loss 0.6835 | lr 1.74e-04
  update 1520 | loss 0.7155 | lr 1.74e-04
  update 1530 | loss 0.7338 | lr 1.73e-04
